formula,target
Pt1 C1,1.995383651
Cd1 C1,2.103047883
Cd1 C1,1.983565718
Au1 N1,1.528850004
Ag1 C1,2.235058756
Au1 C1,2.245312626
Ag1 C1,2.257796476
Pt1 C1,1.563910146
Ag1 N1,1.537864424
Ag1 N1,1.532949019
C3 N1,2.021269698
C3 N1,1.79460404
Ir1 C1,1.675500636
Er3 In1 C1,1.605514109
Ho3 In1 C1,1.596624091
O1,1.564977839
Cu1,1.94210138
Na1 B1,1.850196839
I1 N1,2.395339224
K1 C1,2.315763817
N1 Cl1,1.980690112
O2,1.954308929
I1 N1,1.830186634
Br1 N1,2.069286304
O2,1.675603444
Tl1 C1,2.365773538
K1 B1,2.083023193
Cs1 B1,2.222233089
Rb1 B1,2.189844021
Na1 N3,2.451766669
K2 C2,2.316037189
K2 C2,2.316099444
Rb3 Re1,1.61439516
O4,1.679039974
V1 C3,2.254245238
Cu1 Br2 N2,1.534342179
Ce3 In1 C1,1.811424144
Mn3 Cu1 N1,1.662816962
Th1 Co5,2.363049625
Ca1 I2 N6,1.599818313
C3 N4,2.387184033
Co1 I3 N6,1.902425983
Sb1 S4 N3,1.69759418
Pt1 N4 Cl2 O1,2.090048112
Cd1 I4 N4,1.937215378
Co1 N6 Cl2,2.361466672
C6 I2 N2,1.813983307
Cu1 Br2 N6,2.2741715
Ru1 I2 N6,2.276081506
Ru1 N6 Cl2,2.32450327
K2 Sn2 N6,1.672847172
B9 N1,2.249928172
Mg1 Br2 N6,1.867376483
Co1 I2 N6,2.174896471
Co1 N6 Cl3,2.30856007
K2 Sn1 N6,1.905932923
K6 Re3,1.983801192
Ni1 N6 Cl2,2.48188153
K6 Tc3,1.562928095
Hf1 Ge1 Rh2,2.066119223
Ca1 Rh2 Pb1,1.942555913
Y1 Ag2 Pb1,1.68063665
Y2 Al1 Hg1,2.06235679
Sc2 Tl1 Zn1,2.009431262
Mg1 Pd2 Au1,1.613127708
Al2 Os1 Pt1,2.319591831
Hf1 Ga1 Pd2,1.807725314
Zr1 Mn1 Rh2,2.35567174
Y2 Cd1 Pd1,1.803392856
Y1 Zn2 Pd1,1.684200955
Li1 Fe1 Pt2,1.83692092
Y2 Cd1 In1,1.996560585
Mg2 Ir1 Pd1,1.953545433
Li2 Y1 In1,1.693902914
Zr1 Cu1 Au2,1.793962985
Li1 Cu2 Ni1,1.92357536
Y2 Zn1 Cu1,2.251252944
Y2 Ir1 Pt1,1.64580702
Sc1 Cu2 Hg1,1.580137987
La2 Ga1 Cu1,1.852112957
Li1 Y2 Tl1,2.070733086
Y2 Ir1 Au1,1.65601272
Y2 Ag1 Hg1,1.891991943
Cu2 Pt1 Au1,2.019326748
Cu2 Ag1 Au1,1.655675808
Al2 Tc1 Pt1,2.225812602
Be1 Fe1 Pt2,2.185545864
Mn1 Al2 Fe1,2.402177638
Li1 Ge2 Rh1,1.64871989
Na1 Y2 Pb1,1.839062899
La1 Mg2 Cd1,1.553510214
Mg1 Ga1 Co2,2.166474123
Li1 Sc1 Rh2,1.817160475
Sc2 Co1 Ni1,2.26164705
Sc2 Cd1 Ru1,1.966362692
Sn1 Rh2 Au1,2.141974231
Mg1 Zn1 Ni2,1.901907391
Mn1 Zn1 Ni2,2.156464104
Mn1 Pd2 Au1,1.935866393
Y2 Cu1 Hg1,2.040677845
Y2 Cu1 Ni1,2.153814125
La1 Y1 Tl2,1.834794028
Ti1 Ga1 Cu2,2.093032431
Mg1 Cr1 Pt2,1.912589405
Mg1 Sc2 Zn1,2.173563841
Be1 Al1 Pd2,1.542442641
Li1 La2 In1,2.021448587
Hf1 Tl1 Au2,1.573404588
Ca2 Mg1 Al1,1.524405078
La1 Y1 Cd2,1.997892733
Y2 Co1 Cu1,2.254890765
Sc1 Cu2 Ag1,1.822686315
Sc2 Al1 Hg1,2.045709818
Ti1 Be1 Au2,1.747594152
Sc2 Al1 In1,2.215390007
Mg1 Be2 Pt1,1.79697511
La2 Ag1 Hg1,1.836538888
Bi1 Pd2 Au1,1.533048069
Hf1 Pt1 Au2,2.109862944
Cd1 Rh2 Pb1,2.046295051
Y2 Pd1 Au1,1.529229325
Ca1 Y1 Tl2,1.574875603
Zr1 Ag1 Hg2,1.617536455
Sc1 Ag2 Sn1,1.703658201
Cd1 Fe1 Rh2,2.473384949
Be1 Cu1 Pd2,2.005200514
Ca1 Hf1 Rh2,1.889629684
Ti1 Ge1 Rh2,1.995692827
Cr1 Sn1 Rh2,2.442245584
Zr1 Ti1 Au2,2.226214713
Mg1 Zn2 Ir1,1.78388612
