formula,target
K4 Mn4 O8,1.3322
Cr3 Ni1,0
Cs1 Rb1 As1,0
Si1 Sn1,0.4113
Ca3 P2,0.3514
Li12 Co8 Ge12 O48,0
In1 Sb1,0
Hf1 Mg6 Sb1,0
Hf1 Mg6 Sb1,0
Zn2 Si2 O6,3.5902
Mg6 Cd1 Co1,0
Mg6 Co1 Sn1,0
Mg6 Cu1 Sb1,0
Mg6 Co1 Ni1,0
Mg6 Zr1 Ga1,0
Y1 Hf1 Mg6,0
Mg6 Ti1 Zn1,0
Y1 Mg6 Ni1,0
La1 Mg6 Al1,0
Ca1 Mg6 Zr1,0
Mg14 Sb1 Mo1,0
Hf1 Mg14 Cr1,0
Rb1 Mg14 Bi1,0
La1 Mg14 Cr1,0
K1 Mg14 Bi1,0
K1 Sr1 Mg14,0
La1 Mg14 Co1,0
Mg14 Ti1 Mn1,0
Rb1 Mg14 Sn1,0
Mg14 Ti1 V1,0
Sr1 Mg14 Ni1,0
Hf1 Mg14 Co1,0
Ba2 C4,2.1132
Na1 Y1 Mg6 O8,2.8937
Mg14 Ti1 Cd1 O16,0
Mg14 Ni1 Sn1 O16,0
Y1 Mg14 Ti1 O16,0
K1 Mg14 Al1 O16,1.8533
Mg30 Si1 Sn1 O32,1.9429
Mg30 Si1 Sn1 O32,0.9232
Cs1 Y1 Mg30 O32,2.1694
Mg12 Bi6,0
Sn2 Bi6,0
Mn12 O24,0
Be12 Si12 Sb8 O48,2.9288
Fe2 W4 O16,0
W3 O8,2.7282
Ca6 Cu6 Mo12 O42,0
Zn2 Ag4 O8,0.3771
La2 Zn2 Fe2 Sn2 O12,2.2267
Ni4 Sn4 P8 O36,0.0042
Cr12 O28,0.2404
Ca2 Cu9 O13,0
Ca2 P8 W2 O24,1.9165
Zn2 P8 W2 O24,0.0833
Mg4 Ti4 O8,0.2441
Zn2 Cr9 O13,0
Zn1 Bi4 O8,0.485
Sr4 Cu4 Bi2 O14,0
Ti6 P8 O28,0.0142
Ca2 Sb1 W1 O6,2.1391
Ca2 Ag4 O8,0
Sr3 Ca1 Cr2 S2 O5,1.4214
Cu2,0
Mg12 Si8,0
Sr24 Ca8 Ti24 Mn8 O80,0
Dy3 Mn3 Ga3,0
K4 Mn4 O8,1.3269
Ce2 Se4,0.0589
Ce8 Se16,0.0601
Ce12 Se24,0.5375
Zr4 Sn4,0
Sr4 Mg2,0
Sr4 Mg2,0
Mg6 Sb6,0
Mg4 Bi8,0
Y2 Mg2,0
Er2 B4 C4,0
Dy2 Mn4 O8,0
Hf2 Te6 Se16,0.7122
Na1 Hf1 Mg6,0
Mg4 Mn4 O10,0
La24 Sm8 Cr12 Fe20 O80,0.9914
Ca4 Sn20 S44,0.2872
Th4 O8,3.4895
Sm4 Co3 B6,0
Fe1 Mo6 Se8,0
Fe2 S2 O10,0
Er4 Co3 B6,0
