formula,target
Te1 Rh1 N3,2.16
Hf1 Te1 O3,1.52
Re1 As1 O2 F1,1.48
Re1 W1 S1 O2,1.24
Hf1 Bi1 O2 F1,0.62
Li1 Y1 N1 O1 F1,1.48
Be1 W1 O2 F1,1.56
Sc1 As1 N1 O2,1.2
Cr1 Te1 N2 O1,1.62
Rb1 Sc1 S1 O2,3.16
Hf1 Co1 N1 O2,1.4
Li1 Fe1 N2 O1,2.74
Ru1 Pb1 O3,0.78
Ga1 Au1 S1 O2,1.24
Cs1 Hg1 N1 O1 F1,1.76
Os1 W1 N1 O2,1.5
Y1 Hg1 N3,2.06
Hg1 Te1 O3,1.06
Mg1 Ru1 O3,1.7
Sr1 V1 N1 O1 F1,0.46
V1 Ga1 N2 O1,1.08
Cr1 Cd1 O2 F1,1.28
K1 Au1 N1 O1 F1,1.76
Na1 Be1 N1 O1 F1,1.68
K1 Co1 O3,0.82
Sn1 Pt1 N1 O2,1.16
Y1 Zr1 S1 O2,1.18
Sc1 Sb1 S1 O2,1.24
Ta1 Fe1 O3,0.32
Sc1 W1 N3,0.6
Na1 Li1 N1 O1 F1,2.3
V1 Mo1 O3,0.66
Cd1 As1 S1 O2,2
Zr1 V1 N1 O2,0.62
In1 Bi1 S1 O2,0.98
Si1 Au1 N1 O1 F1,1.3
Ga1 Mo1 N1 O1 F1,0.58
Bi2 N2 O1,1.18
Sb1 Pd1 N1 O2,1.34
Tl1 Sn1 N1 O1 F1,0.76
Li1 Sb1 O2 F1,1.16
Zr1 Co1 O2 F1,1.28
Mo1 W1 O3,1.4
Sr1 Ta1 N1 O1 F1,2.96
Zn1 W1 S1 O2,0.72
Mn1 V1 O2 F1,0.6
Sr1 Re1 N3,0.68
Cs1 Ti1 N1 O1 F1,0.7
Li1 Cd1 N3,2.84
Y1 Pb1 N1 O2,1.18
La1 Hf1 S1 O2,0.56
As1 Pd1 S1 O2,0.92
Nb1 Ge1 N3,0.98
Rb1 Pd1 N1 O2,3.2
Be1 Ga1 S1 O2,1.48
Bi1 Au1 S1 O2,1.36
In1 Au1 N2 O1,1.78
Cr1 Pd1 N1 O2,0.84
Rb1 Sn1 O2 F1,0.36
Mo1 W1 N1 O2,0.64
Co1 Pd1 N2 O1,1.44
Rb1 W1 N1 O2,0
Cs1 Ir1 O2 F1,1.24
Cs1 W1 N3,1.36
Sr1 Ca1 N1 O2,1.9
Be1 B1 N1 O1 F1,1.54
Zr1 As1 N1 O1 F1,0.86
Sc1 Be1 N3,1.48
Fe1 Cu1 N1 O2,1.1
K1 Ta1 N1 O1 F1,3.34
Ta1 Ni1 O2 F1,1.08
Sr1 Fe1 N3,3.74
In1 Mo1 N3,0.82
Te1 Pt1 N3,2.3
K1 Ru1 O2 F1,3.2
Si1 B1 O3,1.9
Sr1 Si1 N1 O2,2.98
Ga1 Pt1 O2 F1,1.38
Mn1 W1 N1 O2,0.42
La1 Pt1 S1 O2,1
Nb1 V1 N1 O1 F1,1.06
Na1 Tl1 N1 O2,1.6
In1 Ag1 N3,2.04
Cu1 Ge1 N1 O2,0.96
Li1 B1 N2 O1,2.22
Be1 Sb1 N3,1.9
Sn1 Ge1 N2 O1,1.12
Ba1 Co1 N1 O1 F1,2.8
V1 Te1 O3,0.62
La1 Ru1 O2 F1,1.86
Cd1 Ga1 O3,1.72
