element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
H,-2.517692,4.8924255,-0.36967784,5.976924,-0.1604979,-0.38323855,0.095785625,4.139132,-2.0630498,4.3603477,4.142533,2.4716277,0.5107497,-2.9032195,-0.007594408,0.7246532,0.05689947,4.2778754,-1.0465314,0.27921444,2.2136793,0.96312344,-1.0606202,-0.21636342,3.3907695,4.4799433,8.092179,-0.5806043,-1.5040795,-3.6397917,2.5873806,0.004137558,1.618646,-6.2099104,7.294239,3.893676,1.7021035,1.3211334,-3.5123494,-6.566749,2.8346097,1.676393,-1.1082202,4.2210464,3.1921303,4.734446,-0.22431864,-2.5663958,4.9692016,1.8541929,3.7803376,1.000532,-0.05507415,1.843337,-4.284281,0.9171021,2.5486252,1.1832383,-2.314175,7.33155,-0.8450856,-0.6451727,-1.7972997,-4.7484593,0.5806054,-5.982372,-2.7410684,1.5655576,-6.5159144,1.7007564,6.8979626,-2.705958,-1.1976389,0.13872153,1.5710347,-3.2587686,0.10362197,2.3235888,0.54316115,4.3959236,1.9461488,-0.5545271,-5.4225245,0.67358464,-2.439379,0.2417894,0.095354326,-0.42494372,3.4237366,-0.9389345,1.2105498,1.3134321,3.2458637,-9.422361,-1.8968631,1.6486334,-10.186598,4.0671234,-1.7794064,2.239935,-2.73028,-1.6595321,3.8090982,0.013473012,2.361516,-2.1113577,-3.7263656,1.0561341,1.5427569,3.894556,-6.6933703,6.451797,-0.90266263,-5.5183864,-5.0971212,-0.32360062,3.527385,2.0644984,-0.19250964,-0.012637763,-2.5360508,1.1203767,2.1823277,-7.1309323,-2.7528243,-4.0765505,-3.454695,5.7276,-1.7433064,0.3370721,1.5294683,-3.8924322,-2.9193852,-0.6955495,-0.82891154,5.491781,0.6106142,2.80174,2.4367642,0.8295788,-0.07583169,0.1601224,-1.6947353,-0.32235157,-1.5973208,2.0446773,-2.7215812,-9.48529,-7.43748,5.45052,-1.5706954,-3.4514651,-5.18388,-1.8716475,0.56837356,0.2734101,0.36364198,-2.9726486,4.8151393,3.1284976,-0.96274006,1.1095271,6.9644833,1.6025974,-0.7837172,2.725393,1.9231789,1.6089593,-1.5949998,-5.032384,-1.4430375,-0.53567094,2.363045,2.2631314,-2.2660513,-1.8003979,3.5950665,-2.5696557,-3.408362,2.908481,5.6876316,3.1433966,-2.0993316,2.082059,1.0534377,-3.2399392,0.4822487,7.438082,-5.2384186,3.5045447,-4.3259797,-1.8398393,1.0831006,0.18582082,-0.05450956,0.13562925,1.2323236,-3.84178,-7.9755344,4.1415524
He,-0.20721628,-0.24593887,0.1482263,-0.02955412,-0.02586763,0.028352505,0.021701815,-0.49383795,-0.34049532,-0.2807847,-0.08396267,0.18342564,0.091051854,0.27494302,0.17614903,-0.038447775,0.02305537,-0.20515266,0.17619723,-0.1372552,-0.053228095,-0.2924667,0.31336603,0.37810922,0.21319768,0.12811366,0.16897191,-0.099692315,0.28064287,-0.27184257,0.122916624,-0.27577034,-0.13891447,-0.027058853,-0.43670118,-0.06246212,-0.013667463,-0.1658344,-0.4273576,0.030179376,-0.03777248,-0.1501533,-0.1287372,-0.28729895,0.08562671,0.24079128,0.21769777,-0.012019536,0.20110531,0.20796257,-0.013426066,0.20511134,-0.36624128,0.09750219,-0.019201627,0.37359154,0.10738466,0.44320467,-0.115234636,0.24432081,-0.3334199,-0.4528113,0.003624206,-0.32124382,0.10910344,-0.34960932,-0.09217781,-0.01801747,0.07633943,0.013035212,-0.043017343,-0.20593838,0.19410494,-0.13857058,-0.20282313,-0.31982628,0.31024593,0.32173163,0.103518344,-0.3120736,0.25578675,0.3511362,0.08639922,-0.061332908,-0.09814952,-0.20172393,0.23091482,-0.1269911,0.08416255,-0.47313255,-0.11282404,-0.15207408,0.078116156,-0.29605618,0.120397955,-0.43250856,0.3207124,0.1964437,0.061143782,-0.24699165,-0.5541548,0.21317334,0.11789819,-0.39902985,0.106588826,0.3813374,-0.00779334,0.057194524,-0.029692257,-0.18874027,0.05184425,0.055736408,0.08968646,0.35620812,0.010795189,-0.12972482,-0.25616926,0.43506312,-0.120184,0.047313742,-0.066431455,-0.08564327,0.3003518,0.003380677,-0.1525473,0.002130288,-0.19645122,0.20201658,-0.043745324,-0.6503801,0.56473386,0.0507736,0.59498173,0.16471516,-0.09424167,0.14433706,-0.36413932,0.2627114,0.13260746,-0.042471275,0.013315957,0.06838358,0.2819497,0.11219338,-0.06473564,0.38458484,-0.20295809,0.1510632,-0.17107312,0.22029631,0.12108261,-0.13385719,-0.60245997,0.095007956,-0.11596454,0.27321437,-0.013350344,0.25269622,0.014606696,0.22669218,-0.38638693,-0.22437945,0.5134528,0.21410936,0.012854292,-0.27640644,-0.2261879,-0.08960699,0.3254472,-0.14672641,-0.4226574,-0.07345192,-0.05330908,0.041131333,-0.09554938,-0.04221051,-0.34971556,-0.25037074,-0.20987312,0.14220351,0.1958183,-0.1450517,-0.012769193,0.26970017,0.25338873,-0.11891144,0.33902654,-0.19319108,-0.5529938,0.3659679,0.3728365,0.01318697,0.13444914,-0.019796811,0.1729707,0.14214693,-0.16800888,-0.28797588,-0.052840974,0.24117026
Li,-1.8608522,0.8300271,1.925659,1.6269884,-4.0274205,2.0256433,4.8713217,1.6908576,2.6948187,-0.10312107,1.0566627,-6.078821,1.1707027,0.9012134,2.7803595,-0.77419794,-1.7475219,-3.2733307,-7.1824727,-0.5903037,0.24802849,2.1968036,-2.2765772,2.7766178,1.5652332,-2.9517262,6.795144,-1.4873493,-2.4077084,1.792536,-1.2143388,5.728778,1.0382352,-2.1779876,4.040355,2.1190145,2.730665,1.2393801,-5.816873,-0.4240708,0.5512069,4.536095,5.418594,-1.0659012,-3.86088,0.65981585,-0.1957768,0.60517645,0.15689541,1.7712932,2.0167687,2.5788639,4.588798,1.2983199,3.4453654,-1.2056706,0.72617966,1.8633053,-1.3735474,3.8128283,1.8388753,3.076562,0.03119251,-1.1422802,-2.3344257,-2.2807102,-4.2817264,3.0272045,1.2824327,4.0299034,4.521695,-3.8340664,-0.12387392,-1.1791097,-3.532223,-2.1895988,3.941164,-0.7763908,-5.131871,1.8288103,-0.6691329,-1.7962201,-2.3588657,-0.44578424,1.3891369,7.4211307,2.6442633,4.4936423,4.1498337,-0.52232194,3.238843,-3.4115868,-0.69075054,-1.9603455,0.27249897,-3.9249482,-2.6617162,1.1340146,-0.63931507,-4.057665,-1.2345709,-6.8828673,-0.45003256,3.2668562,0.16072184,-3.2890732,0.550001,-4.873235,-5.2890654,3.1405058,-1.9591179,0.9507931,-1.1233667,-2.3384416,-2.9760945,5.896752,4.023879,-0.6538984,-0.023416856,0.75754625,2.4056692,-5.194791,-3.1597755,-3.4674852,0.48026228,-2.897087,0.15060812,4.0225387,0.32428145,-0.61990404,-0.30984455,0.6851091,-2.9789822,-6.6035213,3.3584394,4.9021726,5.216459,1.0396892,2.6840692,-2.3123238,-1.637043,6.3533525,-0.31347945,2.5594954,2.7930539,-1.4124312,-6.8261857,0.21693356,-5.041974,3.3929822,0.0666408,-0.9887966,-1.5826977,-2.2840655,-1.708469,-0.80056417,-1.829516,0.40961668,-0.5646596,-1.1299051,2.793535,-4.613253,6.008215,3.3907702,-2.5081584,7.4511385,-2.6755183,-5.5620437,-4.6569467,-4.954179,1.0322045,-3.8902776,2.1525886,-1.6718527,-5.6604137,0.92001116,4.1422687,-0.24260302,-4.491687,-0.022488628,1.8882407,2.9120893,-1.3352785,1.858129,1.389457,-3.3560946,-4.760416,0.9602253,-2.7398849,-0.39597747,-2.6812923,-0.52325517,-1.05333,0.93305975,-1.3309221,2.9935303,3.118454,-0.8950126,0.7578634,6.0758915
Be,-2.7973678,2.660657,0.075646974,1.3378248,0.41681302,-1.4239762,2.8434424,1.3093169,-1.9414941,-0.03356128,0.19416925,-2.9321456,-1.2399194,0.9001058,0.33541614,-0.19993745,-1.8592724,-1.9551393,-2.369992,-2.4670682,1.2390455,-1.1473567,-2.535888,1.2758306,1.7276912,2.9411628,0.36371276,-0.21792535,3.3152046,-2.536578,1.1696604,0.9810381,-1.4814941,-0.8688693,2.6481328,0.2283693,-0.62299615,0.67387944,-1.7293419,-0.9639361,-1.4037671,-1.3274366,1.5619885,-0.44865432,1.9957371,1.5039966,-3.7472405,-2.2593007,-0.05874013,1.3910174,0.36333123,3.8042116,-0.43344447,0.056309815,0.7580507,-1.1362857,1.0247991,-0.012425224,-0.8602678,0.44989944,-2.3022525,-1.4643074,-0.6163992,0.92997926,0.31562242,-4.133326,-2.9724803,0.23397921,-0.1406748,1.2408923,4.5702496,-3.972008,-2.2611208,2.217556,-0.9685072,-2.9095078,-0.5822415,1.4345707,-0.96044594,1.058283,1.8791665,-0.31129372,-2.907766,-1.6062974,-4.914073,0.437298,0.54036105,-0.24143025,3.972256,-3.0443091,-0.3779356,0.40496635,0.5414513,-4.749418,1.3391683,-4.5350866,-4.1559587,3.3386025,-0.80305684,-3.5636933,-3.9896991,-3.6901455,-3.5516932,-1.0637531,0.080732435,1.2523211,-1.9018741,-2.2909825,-0.93186617,-2.5753884,-1.8108124,2.0776255,-1.8471667,-2.3271117,-0.19874543,-1.367436,4.1189313,-1.3114829,-1.2891097,2.1847126,-2.3950448,-0.1999824,-0.57674974,-4.397123,0.7603301,-2.0866878,1.6898904,4.3796635,-1.467376,-1.5615158,-0.5710462,-1.1485455,-1.2067347,-1.7742547,-0.97300255,3.0460448,0.047332678,-2.431873,0.9585667,-0.544897,-1.0929133,1.0241504,-0.55841285,-2.2311761,0.53036433,0.31988573,-1.1153064,-3.615834,-3.5433547,-0.22569159,1.0129532,-0.99297625,-4.24065,-3.5030396,-0.38211966,-1.4419606,0.44100708,0.50339097,-0.4626622,2.0784929,2.2764754,2.2140257,1.7333764,1.4890664,-0.8573395,1.964894,-0.980255,-1.2379583,-2.9004135,-1.5625743,1.3450861,-1.0889771,0.1209998,4.441545,-1.6365529,0.6891344,3.4581041,-0.7133551,-3.1581419,0.27308762,4.3358455,2.3359802,-2.2919805,1.3459378,4.567159,-1.7431595,0.65229356,2.089381,0.6940763,-3.2494082,-0.3037579,-3.2263336,-0.1583681,-1.252292,2.4181507,2.4752445,2.6171415,-3.6698647,-3.2002678,3.0126395
B,-2.5436263,1.4570609,0.41849676,3.22075,-1.099008,0.85324365,-0.02882313,2.8137777,-4.059379,2.3184884,-1.5737392,-5.226224,-2.156622,1.5396055,1.7626532,1.6212289,2.0022664,-0.35387078,-4.9290714,-1.67527,2.8532248,0.9570137,-0.91143686,-0.6637466,0.5077387,0.78054523,3.2149837,2.4640388,-1.5670663,-2.3307812,1.729208,2.7074738,3.1858368,-0.69785726,4.041436,1.5526224,4.7000623,1.4937849,-0.97174835,-1.9768419,-1.520775,2.1740074,2.7265894,-0.8712303,-0.004395441,1.6495329,-2.513854,-1.2329131,3.1001685,1.2799801,-1.2083138,3.303255,-3.1305487,2.0230565,-1.0031819,-3.9645412,1.4068257,1.6725134,0.036825854,3.5752614,-1.5468191,1.0375106,2.8085506,1.0248532,1.1545637,-5.5330706,-5.2774944,6.311492,-3.3058426,2.3327527,5.8778596,-4.490879,-3.8008127,0.3552033,-1.0226344,-4.9131155,2.3304436,2.304503,-2.4898822,1.1542536,2.453272,-0.687263,-1.4108126,1.4296,-1.3323811,1.4938005,-0.15193115,-0.62282234,8.815452,-4.136896,3.0209951,3.8603334,-0.12569126,-3.6297522,4.836267,-0.9162354,-7.108492,1.2277794,-1.6409261,-2.528864,-4.9817886,-4.304848,-0.41320503,-1.6438369,2.922296,-0.9392802,-0.36466727,-1.8543648,-1.9955094,0.8876337,-3.564101,3.6406276,-0.93230206,-2.8218932,-5.148636,1.4789993,4.2349777,2.1318197,1.1321318,3.218601,-2.69182,-2.2388308,0.367528,-2.5011642,0.4233038,-2.469722,0.87411946,5.611351,-0.6555382,2.0438988,-0.6502196,-1.324295,-1.7472141,0.6046575,-1.9283566,2.940891,1.52642,-0.50839895,0.6546382,-2.4202428,0.33023056,2.6828525,0.38757974,-1.5120412,-1.651019,1.9256729,-2.9708648,-4.2394753,-2.6237292,2.1286144,1.224462,1.2429838,-2.9724014,-2.528233,-1.2004557,2.4235494,1.1468332,-1.9358449,1.5866551,1.1817291,6.3442836,3.1276746,3.8557224,1.7341112,-0.68682694,1.0678619,0.67185163,-1.211887,-2.6239715,-3.1602607,-1.8418597,0.8736803,0.1736279,5.7639213,-4.1274247,-1.0287824,5.301428,2.6145468,-6.2411633,1.4270633,4.0131946,0.76166123,-2.9054046,1.2952307,-0.56324875,-4.245848,-2.4387882,6.2025957,0.78365153,2.3379667,1.6225866,-5.9068274,0.29945672,0.5695404,1.7106305,1.6442788,3.4953482,-4.409069,-2.4213245,5.5508256
C,-0.5604457,4.786858,-0.07889286,2.9327943,-1.1916476,-0.64040256,0.8310437,2.6680086,-3.0387304,2.3301537,2.0999122,0.26056272,-1.8136891,-1.0492535,1.530521,2.1595116,-3.3059611,-0.9884995,-1.9328245,-0.42086002,4.6088257,3.6745174,-1.072138,-1.0417647,3.9268827,5.1603017,1.8280084,3.5081315,-1.4329058,-2.4164772,1.4269137,3.340216,2.1534896,-4.795796,3.0319724,3.7396214,3.6956036,0.024511915,-0.049254633,-1.2908566,0.3764056,2.2783594,0.9158055,0.8778605,0.18278493,2.1587768,-2.4819226,-1.5465897,3.7633522,4.3483477,2.300626,1.3815677,-4.8410544,-0.16401523,-2.0296044,-1.7239498,2.851854,5.1312556,-3.569308,2.213732,-3.2357771,1.9405516,-1.4888337,-3.5395606,2.232164,-5.249926,-1.0485402,6.4221,-1.7693177,3.3253913,4.644782,-2.8125057,-2.3548882,-0.73744994,1.6442641,-3.0839107,1.4639176,5.179497,-0.5757873,0.75149685,4.530876,-1.5363982,-2.6207514,3.3994935,-2.3911557,2.5168684,1.318138,0.0657836,3.6838696,0.25620976,-0.46028844,-1.5747933,1.4948839,-2.480921,2.070322,-0.13053976,-5.7070966,1.6477984,-1.0498378,0.607882,-4.5280905,-3.675493,4.172128,-3.0513985,-0.8838422,-2.2738202,-2.0193057,-1.0291774,3.3108118,-1.6358199,-0.33222976,5.03023,-0.006293204,-3.083281,-4.4529395,0.98887306,3.7668545,1.7031606,-2.361228,1.4562505,0.43173555,-1.3584197,2.091112,-3.093054,-4.8310814,-7.4771614,-0.6800647,4.479446,-2.7958639,0.29111025,2.2788198,-1.3756667,-1.9534318,-0.9499089,-1.7753123,4.5312986,-0.26459906,0.73802006,1.1553893,1.5779183,3.216612,-1.1916096,-2.1839108,1.1477393,0.85830754,0.031773005,-2.986937,-5.255367,-6.5307546,-0.35747096,-3.3088632,0.12318887,-0.42498037,-1.2622509,-0.1128692,1.4218028,2.3806899,1.7066818,5.187647,2.2085404,3.774276,3.5710192,6.4946065,2.3928385,-0.31790262,-0.058107037,-2.082102,3.9236555,-0.71626526,-5.6693807,-1.136691,-1.6189789,2.022404,0.26961023,-1.7544831,0.017922617,1.9122518,-0.9856599,-5.362322,-2.3549025,2.6013396,7.324643,-0.5804351,-2.5122383,-0.5645181,-6.575869,-4.226511,3.8392565,-1.5657034,1.0371559,-2.477312,-1.7962745,1.66257,-0.43526325,-0.39381188,-1.7535669,2.208046,-3.4795704,-3.5860932,5.080918
N,-3.1347313,3.7086518,1.7284466,4.504746,-2.5319283,-2.9372666,2.9871724,3.577657,-6.195283,3.1399305,2.1528685,0.16837081,3.9192533,-1.2385787,2.8827114,-0.23233889,-4.0007668,-1.2182853,-4.9986124,-2.4156706,6.505566,1.8234639,-0.4719449,-0.23511021,1.895522,3.4200766,1.3968664,1.8853177,-3.1868935,-4.3371196,1.9615437,0.074704304,3.494251,-2.6136794,2.0016549,4.1586475,2.955279,-0.3623995,2.4770286,-0.9042023,1.9007308,0.90605235,1.6164215,1.0043488,-0.39971662,2.8450737,0.42699137,-1.7639091,2.1553142,-0.41806376,3.9930751,0.47158113,-2.9730227,0.09233328,-0.38501188,-2.963149,0.37726724,2.7203422,-1.1474255,2.3833988,-1.1865323,-2.0201306,-3.743435,-3.5423048,7.0452423,-4.049233,-0.30911326,5.2920113,-3.79908,4.377715,8.710767,-2.0120108,1.5125991,-0.99193275,2.0632393,-2.6378694,1.2457867,2.0510983,-1.9669583,1.6706877,3.7616189,-0.6827766,-1.9647009,-0.44882327,-3.401994,1.9041909,3.8191504,0.5774468,0.71794313,-2.7147875,1.1897668,4.337381,4.161296,-3.2660158,1.071775,-0.5431086,-6.107881,2.80964,-1.6536958,0.66893554,-2.2264376,-1.2013448,-1.7092056,-2.6721022,-1.6688713,0.7703574,-2.8546205,-0.91627127,1.8462759,-0.55765134,-0.7735341,2.5710876,1.6312457,-2.9836063,-3.2724292,0.6356424,-0.9468474,-0.77502567,-0.81720096,1.6957061,0.26060912,-1.6296749,0.45898965,-2.4719536,-3.6898675,-4.937705,-2.1712277,5.2848206,0.21753174,2.0060732,2.5478132,-0.23322234,-2.9698098,-0.51574475,-2.4217327,1.791403,-1.8209974,2.1121504,0.3717693,-0.014004894,0.529204,-0.051254574,-3.3358386,8.050583,1.823278,0.26618075,-5.342721,-4.915929,-5.000814,2.5508149,-1.6410995,0.15130714,3.6211262,-2.9689753,-2.0070572,-1.5851883,0.5489135,1.3780422,-0.7936909,2.9804313,4.7176003,4.8452835,7.3732815,1.9765469,-2.5706408,1.8305788,-2.4212127,1.0340651,-3.7182288,-6.238756,-0.9204391,-1.8292204,6.3235598,1.3129561,-1.662972,-0.49325177,0.24704193,-2.618938,-1.6859833,1.8939734,4.7908673,3.6560798,1.4121844,-2.075262,0.4587153,-6.440342,-2.1755753,2.4683566,-2.2972999,-0.53871566,-3.2589605,-2.8921282,-1.129902,-1.8919175,-2.8145375,0.99599034,0.8196757,-4.0584307,-3.2133558,4.1139646
O,-1.7397181,-1.1000439,-1.4406163,-0.023915572,-1.9532608,1.4466652,4.5370774,1.0413818,-0.5846638,1.6309922,-1.4480128,-3.5914075,-2.4003663,-2.2316248,-0.24890532,-0.4589103,1.1497821,-2.6704502,-2.0160866,0.8757702,1.2023911,-1.6948246,1.4429734,-0.46467838,2.3872743,0.02478956,2.8511598,4.915133,0.08034151,0.013879739,2.3125489,2.5102184,-0.5504626,-1.6261477,2.260122,2.4853806,4.255538,-1.023448,-2.5702128,-2.6221242,-2.1726496,2.327129,0.5060899,0.8725114,1.4098359,4.66378,-1.0284501,1.049818,2.152272,5.4168115,1.0204048,1.2462305,-1.9132614,-0.28731415,-2.9902837,-0.30457714,0.06265441,1.2413566,0.033981882,3.180381,-1.6295476,1.499062,0.8650654,0.6739577,1.5967044,-3.2630808,-4.458604,2.0567412,-3.2936394,1.10348,1.0227153,-3.7403965,-3.953661,-1.7171898,-0.48775807,-2.4711215,1.5607477,-1.3790456,-4.1779833,4.411965,0.9432404,-0.62953097,-4.3251653,0.04559634,-3.6246674,1.7050052,-0.80122113,-0.66357857,9.012467,-0.1716839,0.71501464,0.0808849,-1.8096106,-5.033311,1.7783284,-1.0584314,-2.81359,0.2280108,-0.7824474,-0.4593906,-1.5991112,-2.6475074,-1.6167955,-0.23259655,1.3962481,3.3323,-1.6045635,0.48380962,-1.5584193,1.1638399,-0.047929604,0.7934632,-2.207104,-1.215258,-3.9341788,1.1418478,1.5734509,-2.4401464,-1.165095,3.5177226,0.32545182,-2.353091,-1.9585773,-1.9127156,-1.9916859,-2.9674928,1.9830264,3.7275958,0.92416793,-1.5965037,3.4397542,-1.3496418,0.23606949,-1.2378327,0.8504468,-0.2295788,0.23404585,-2.134861,-2.0781484,-2.1886864,-1.0649896,3.5965135,-1.1860965,-1.9686561,0.45803362,0.34671888,0.95219237,-3.1790938,-4.6297245,2.78501,0.25024155,-0.10040745,-0.3429777,-1.6529402,0.0667645,1.7873816,-1.5582819,0.6244941,-0.025950486,0.63107383,5.908123,0.6488547,2.9671931,0.7836366,-2.067675,3.7937407,-0.41650784,-2.0421383,-1.2975568,1.4709167,-0.2733212,-1.5646937,0.09460308,1.830177,-1.4254407,-0.27250484,3.1411119,0.17511196,-1.7693532,-2.1748934,4.5906906,2.5152137,-0.44609582,-0.9068805,1.3662978,-2.0146542,1.7659823,4.000131,0.9606631,0.22795299,-2.4571393,-3.3842242,2.8653016,-0.73906654,-1.0099553,3.8190935,5.0206475,-3.0816422,-0.47546408,4.3508477
F,-0.63551867,0.72047234,2.0489743,1.2505198,-2.072663,-2.3980076,5.712702,4.733238,-4.7596335,-1.4791799,1.5905706,-4.1176767,5.700165,-2.7171378,-2.013074,0.36402613,-2.0959723,1.8106005,-5.8190694,-2.1552336,-2.6743178,-0.034698404,-0.28208134,0.6336097,0.855884,-3.5072956,-4.102184,0.037015427,2.8449152,-0.9994005,-0.63837945,3.0388,3.5284815,-5.366912,6.000769,3.1336293,1.8075331,-1.5193416,-3.704919,1.886032,0.7424308,3.0634496,-0.007840166,-1.0583156,1.5909065,1.0165014,-2.6239774,0.47481853,-0.037638016,1.8174324,-0.4517933,1.485414,2.231834,-2.8759944,0.3379346,-1.1467686,1.4551568,4.8224425,4.807961,-0.81752676,-2.1553435,0.6638713,4.5911617,-5.7960653,1.0588622,-5.2575474,-2.1926167,0.5336345,-4.4415073,4.5718365,-0.15733516,-3.758629,1.847431,0.7539349,1.176032,-4.578265,0.05263873,3.2689528,-1.5179802,2.982921,2.2971308,-0.46829978,-1.5619962,-0.27897608,-1.9026417,0.40856168,2.7318172,0.16062577,0.028318767,1.511751,1.7266803,1.8312396,0.28376257,-2.2991786,1.5781109,-3.3469517,-7.479578,1.0783335,-8.072442,2.9720247,0.68219364,-10.605559,-2.6774018,1.1715386,-6.8459463,1.8145171,-0.7606181,-4.4317517,-3.855018,-1.1172035,-3.9297576,3.461495,-1.3850089,-3.3347085,-5.952637,0.45044392,1.8030587,4.1509,-2.918624,4.929799,-1.1773026,-1.447753,-1.9137074,0.076016374,-3.7405775,-2.7037995,-1.1758771,8.429241,-4.821862,-2.5646107,-0.21860616,2.0711198,-7.2178335,-2.489245,-3.5676548,2.3940551,3.1763413,3.0321167,3.2680376,-1.6031092,-0.07061035,2.3272479,-0.4921216,2.0902011,0.4837149,0.21072885,-0.88133675,-5.371834,-2.5414698,0.4284616,1.1022272,-3.7477272,-0.6674402,-6.1400228,-5.1280437,-1.3138684,-0.88861454,-0.29222643,-0.099208504,3.5319297,4.716015,1.0709769,-0.513446,4.202871,-3.1422477,-0.92998534,-1.4696813,-0.5830926,0.053442717,0.21198633,-0.10980138,-1.6931782,0.98244977,3.7239635,-1.1959932,-1.9029807,3.2784557,1.5327275,-1.4881264,4.7449393,5.543909,2.5741854,-2.5265095,-1.5582241,2.0005834,-2.475515,-2.807795,1.668538,-5.150322,0.52701634,1.7737983,1.6744267,0.002164503,1.7279289,-2.0307708,-1.6670327,8.001493,-2.4534245,-2.9048135,5.3431435
Na,-8.012103,1.9996144,-1.1056057,2.526023,-1.2560285,0.51834923,5.610926,0.7675801,-0.5179183,3.213504,-0.15158203,-2.5305495,-4.601774,-2.8920424,0.10350556,2.8753042,1.9761765,-6.2227817,-2.456934,0.6758235,6.4308643,-1.9800004,-2.4393878,-0.06984223,5.345861,-0.3782515,1.6117129,3.639592,-0.24667802,-5.241598,7.1531005,1.545712,3.1957748,-1.8829911,1.9794673,-0.5563635,7.0987406,0.8986686,-1.4353757,-3.1421068,-5.905357,2.7997012,1.828557,-0.5795557,0.6159473,4.629543,-1.9923716,-2.5079572,2.283458,4.1359463,-1.1087236,0.950137,-2.0602138,1.1185461,-0.8304909,-1.1847347,2.7334704,2.3311791,0.3409567,-1.1522886,-3.5978231,-3.7685876,-0.836484,4.5544415,0.64798933,-3.0678148,1.62694,4.8302956,-2.1252127,1.9369582,1.1735493,-8.44037,-1.542332,2.2151933,0.39532468,-1.5356233,3.2896612,-0.10566998,-1.0439,0.5273412,-1.0002847,-5.943135,-3.6917808,-0.6450842,-2.674259,1.348422,-2.349883,0.85391885,5.836625,0.22682995,-1.6841177,2.609401,-2.71398,-4.272356,2.2939706,-3.9174213,-6.398487,-1.2175221,-4.6424813,-0.6482436,-3.3437862,-3.3696702,-3.6962724,1.2085521,-1.39703,1.16726,-1.3941817,-6.994354,-2.1773188,-2.807126,-5.4977803,1.8645858,3.278724,-2.29774,-2.5640328,-0.2103936,0.8297411,3.8843539,-3.4760165,3.2870061,-0.8315083,-4.330614,0.54247916,-5.0562716,-2.5789604,-4.8409705,3.681412,4.2177057,-0.39566252,-4.8680115,-3.3503096,-2.7666435,1.0473306,-5.744811,-5.5252523,0.83843106,2.1730087,3.0610826,5.0627995,-2.493862,-2.3466706,3.7246022,-2.1438148,0.3184666,1.0842611,0.76930946,-3.7152588,-1.8465061,-2.8343904,0.37290508,-1.1604813,1.3341379,1.5607357,-5.429874,-2.8765867,-0.25858402,2.6833885,-3.1346588,-0.70289874,2.5888853,5.6439085,1.1523051,0.794281,-0.3298612,-0.14240275,4.442305,-1.1035936,-1.8987832,2.162976,-4.3930902,-2.573948,-3.990927,-1.4236691,4.5423136,-1.062595,-0.5218192,3.2240949,0.1670898,0.15837876,3.1768937,6.282473,4.511099,-1.9674764,1.0484898,2.7794433,-2.1542826,-1.0495228,6.4875784,-1.5959346,-0.31758583,2.3521912,-3.689339,1.7505953,2.989679,-0.73085535,2.3888175,5.7142124,-3.4370923,-2.002691,2.5160043
